Name,Position,Team,Opp,Week,PassYds,PassTD,Int,RushYds,RushTD,Fum,ModelPoints,Projection,Rec,RecYds,RecTD
Josh Allen,QB,BUF,BAL,1.0,238.18,1.7,0.69,31.93,0.63,0.19,23.34,0.0,,,
Jayden Daniels,QB,WAS,NYG,1.0,232.47,1.62,0.69,47.14,0.37,0.19,22.299999999999997,0.0,,,
Lamar Jackson,QB,BAL,@BUF,1.0,217.68,1.8,0.54,47.15,0.23,0.24,21.84,0.0,,,
Jalen Hurts,QB,PHI,DAL,1.0,208.32,1.32,0.57,33.53,0.88,0.19,21.92,0.0,,,
Joe Burrow,QB,CIN,@CLE,1.0,271.12,2.09,0.68,9.65,0.12,0.18,23.68,0.0,,,
Baker Mayfield,QB,TB,@ATL,1.0,252.63,1.96,0.82,15.87,0.17,0.25,23.569999999999997,0.0,,,
Patrick Mahomes,QB,KC,@LAC,1.0,258.74,1.96,0.74,16.12,0.1,0.12,23.78,0.0,,,
Bo Nix,QB,DEN,TEN,1.0,231.77,1.64,0.73,24.36,0.24,0.18,19.55,0.0,,,
Kyler Murray,QB,ARI,@NO,1.0,218.24,1.45,0.66,31.24,0.28,0.18,18.86,0.0,,,
Drake Maye,QB,NE,LV,1.0,210.54,1.4,0.73,32.55,0.28,0.23,18.2,0.0,,,
Brock Purdy,QB,SF,@SEA,1.0,241.63,1.67,0.72,14.89,0.18,0.12,18.58,0.0,,,
Trevor Lawrence,QB,JAX,CAR,1.0,242.05,1.58,0.79,15.46,0.18,0.24,17.47,0.0,,,
J.J. McCarthy,QB,MIN,@CHI,1.0,229.3,1.52,0.73,20.14,0.21,0.17,18.68,0.0,,,
Jordan Love,QB,GBQ,DET,1.0,242.69,1.68,0.75,10.49,0.13,0.19,18.04,0.0,,,
Caleb Williams,QB,CHI,MIN,1.0,213.66,1.35,0.71,22.49,0.23,0.24,16.630000000000003,0.0,,,
Jared Goff,QB,DET,@GB,1.0,248.75,1.65,0.65,3.72,0.06,0.18,16.77,0.0,,,
Justin Herbert,QB,LAC,KC,1.0,212.15,1.42,0.51,14.37,0.17,0.11,16.680000000000003,0.0,,,
C.J. Stroud,QB,HOU,@LAR,1.0,225.36,1.55,0.69,11.2,0.11,0.17,17.38,0.0,,,
Dak Prescott,QB,DAL,@PHI,1.0,225.25,1.56,0.67,7.88,0.11,0.17,16.499999999999996,0.0,,,
Matthew Stafford,QB,LARQ,HOU,1.0,236.0,1.57,0.75,2.28,0.06,0.13,16.14,0.0,,,
Bryce Young,QB,CAR,@JAX,1.0,195.8,1.19,0.65,18.45,0.25,0.22,14.030000000000001,0.0,,,
Justin Fields,QB,NYJ,PIT,1.0,159.18,0.86,0.59,40.78,0.35,0.26,14.71,0.0,,,
Tua Tagovailoa,QB,MIA,@IND,1.0,229.74,1.5,0.69,4.48,0.05,0.17,15.72,0.0,,,
Michael Penix Jr.,QB,ATL,TB,1.0,214.3,1.37,0.71,11.72,0.12,0.18,15.27,0.0,,,
Sam Darnold,QB,SEA,SF,1.0,213.6,1.28,0.81,11.57,0.12,0.17,14.46,0.0,,,
Sam Darnold,QB,SEA,SF,1.0,213.6,1.28,0.81,11.57,0.12,0.17,14.46,0.0,,,
Russell Wilson,QB,NYG,@WAS,1.0,203.62,1.22,0.61,12.05,0.14,0.17,14.82,0.0,,,
Geno Smith,QB,LV,@NE,1.0,206.34,1.24,0.73,11.28,0.11,0.17,14.4,0.0,,,
Cam Ward,QB,TEN,@DEN,1.0,179.42,1.06,0.74,20.8,0.16,0.21,13.47,0.0,,,
Aaron Rodgers,QB,PIT,@NYJ,1.0,203.69,1.21,0.6,7.23,0.08,0.11,13.610000000000001,0.0,,,
Joe Flacco,QB,CLE,CIN,1.0,224.72,1.21,0.99,3.92,0.06,0.33,11.659999999999998,0.0,,,
Anthony Richardson,QB,IND,MIA,1.0,97.71,0.56,0.4,17.25,0.18,0.14,6.82,0.0,,,
Daniel Jones,QB,IND,MIA,1.0,100.94,0.5,0.39,14.13,0.13,0.14,7.19,0.0,,,
Tyler Shough,QB,NO,ARI,1.0,95.04,0.51,0.43,11.35,0.11,0.12,6.07,0.0,,,
Spencer Rattler,QB,NO,ARI,1.0,93.81,0.44,0.37,10.39,0.08,0.07,5.800000000000002,0.0,,,
Jalen Milroe,QB,SEA,SF,1.0,1.95,0.01,0.01,2.59,0.03,0.01,0.18,0.0,,,
Brandon Allen,QB,TEN,@DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Kyle Allen,QB,DET,@GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tyson Bagent,QB,CHI,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jason Bean,QB,IND,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stetson Bennett,QB,LAR,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Carter Bradley,QB,SF,@SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Teddy Bridgewater,QB,TB,@ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jacoby Brissett,QB,ARI,@NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Max Brosmer,QB,MIN,@CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jake Browning,QB,CIN,@CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Shane Buechele,QB,BUF,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Sean Clifford,QB,GB,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Brady Cook,QB,NYJ,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Kirk Cousins,QB,ATL,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Lamar Jackson,QB,BAL,CLE,2.0,213.22,1.77,0.53,44.78,0.24,0.24,21.750000000000004,0.0,,,
Josh Allen,QB,BUF,@NYJ,2.0,222.53,1.59,0.65,29.83,0.59,0.18,20.59,0.0,,,
Jayden Daniels,QB,WAS,@GB,2.0,219.0,1.53,0.65,44.41,0.35,0.18,20.79,0.0,,,
Jalen Hurts,QB,PHI,@KC,2.0,194.63,1.23,0.53,31.33,0.82,0.18,20.17,0.0,,,
Joe Burrow,QB,CIN,JAX,2.0,259.71,2.0,0.65,9.24,0.12,0.18,23.23,0.0,,,
Baker Mayfield,QB,TB,@HOU,2.0,243.02,1.88,0.79,15.27,0.16,0.24,19.150000000000002,0.0,,,
Patrick Mahomes,QB,KC,PHI,2.0,248.76,1.82,0.71,15.94,0.12,0.12,19.150000000000002,0.0,,,
Drake Maye,QB,NE,@MIA,2.0,210.54,1.4,0.73,32.55,0.28,0.23,18.2,0.0,,,
