,ModelPoints,ModelPoints
,sum,count
Name,,
A.J. Brown,140.84,17
AJ Barner,4.58,6
Aaron Jones,151.03201933316427,17
Aaron Rodgers,275.62,20
Adam Thielen,156.56025590277778,17
Adam Trautman,0.36,1
Adonai Mitchell,110.69975000000001,17
Alec Pierce,169.6023416666667,17
Allen Lazard,100.93840000000002,17
Alvin Kamara,191.99394093137255,17
Amon-Ra St. Brown,180.94,17
Andrei Iosivas,65.25185833333335,17
Andy Dalton,0.0,8
Anthony Richardson,147.29,18
Antonio Gibson,8.856192857142858,6
Arian Smith,22.119999999999997,17
Ashton Jeanty,192.99,17
Audric Estimé,8.0,8
Austin Ekeler,115.51093820967455,17
Austin Hooper,23.119999999999997,17
Baker Mayfield,329.97,17
Ben Sinnott,29.06,17
Bhayshul Tuten,58.48,17
Bijan Robinson,272.3177783407849,17
Blake Corum,46.376000000000005,16
Bo Nix,311.55,17
Brady Cook,0.0,17
Braelon Allen,35.68978260869565,17
Brandin Cooks,89.17505,17
Brandon AiyukWR - S,88.69,13
Brandon Allen,0.0,17
Brashard Smith,3.5999999999999996,5
Breece Hall,195.28616372997712,17
Brenton Strange,55.44,18
Brian Robinson,117.14000000000001,17
Brian Thomas Jr.,178.9,17
Brock Bowers,135.67,17
Brock Purdy,314.42,17
Bryce Young,239.95,17
Bucky Irving,243.3921981374438,17
C.J. Stroud,298.82,17
Cade Otton,69.52,23
Cade Stover,2.52,7
Caleb Williams,287.98999999999995,17
Calvin Austin III,115.69353842592592,17
Calvin Ridley,257.89546875,17
Cam Skattebo,59.68,17
Cam Ward,237.15,17
Carter Bradley,0.0,17
Cedric Tillman,137.83037910958905,17
CeeDee Lamb,339.44247694099374,17
Charlie Kolar,1.6600000000000001,1
Chase Brown,185.2498791666667,17
Chig Okonkwo,55.01,19
Chimere Dike,29.18,17
Chris GodwinWR - T,112.12,19
Chris Olave,210.507928125,17
Christian Kirk,206.96371851851848,17
Christian McCaffrey,184.54613772455093,17
Christian WatsonWR - G,28.24,9
Chuba Hubbard,180.62692002472755,17
Cole Kmet,43.080000000000005,17
Colston Loveland,71.06,17
Cooper Kupp,177.0252481343284,17
Courtland Sutton,378.7230353909465,27
Curtis Samuel,69.78935913978495,17
D'Andre Swift,172.98000000000002,24
DJ Giddens,27.52,16
DJ Moore,257.7948163265306,17
DK Metcalf,244.74153863636363,17
Dak Prescott,287.7,17
Dallas Goedert,74.57,17
Dalton Kincaid,66.36,17
Dalton Schultz,65.24,17
Dameon Pierce,25.51554664179104,17
Daniel Bellinger,2.88,8
Daniel Jones,122.59,17
Dare Ogunbowale,1.08,3
Darius Slayton,137.24293469387757,17
Darnell Mooney,204.0427978971963,17
Darnell Washington,24.64,16
Darren WallerTE - MI,63.410000000000004,20
Davante Adams,239.8304603305785,17
David Montgomery,182.6455098406748,20
David Moore,3.3004125,4
David Njoku,78.23,17
Dawson Knox,29.24,17
De'Von Achane,169.63,17
DeAndre Hopkins,101.12711751336897,17
DeMario Douglas,69.36,17
DeVonta Smith,235.21275,18
Deebo Samuel Sr.,96.44,17
Demarcus Robinson,90.87741935483871,17
Derius Davis,-4.95,5
Derrick Henry,235.803650974026,17
Devaughn Vele,65.6835,17
Devin Culp,1.44,4
Devin Duvernay,-0.15000000000000002,1
Devin Neal,35.0,17
Devin Singletary,29.775030973451326,17
Devontez Walker,2.16,6
Dillon Gabriel,0.0,3
Diontae Johnson,93.82985808080807,17
Dont'e Thornton Jr.,29.18,17
Dontayvion Wicks,109.71723333333331,17
Drake London,303.81233802395207,17
Drake Maye,309.4,17
Dyami Brown,136.79439999999997,17
Dylan Sampson,29.36,17
Elic Ayomanor,29.18,17
