Sack,PassYds,Lost,PassTD,FG30_39,FG40_49,Team,Saf,FGM,RecYds,RushTD,TD_1,Points,Pts Allow,50+,FG50,FG20_29,TD,Week,40-49,FumTD,Rec,RecTD,XPM,RushYds,Made,FGA,Name,_position,0-19,RetTD,_team,FG0_19,Fum Rec,Def 2pt Ret,TwoPt,Opp,XPA,Int,30-39,20-29,Player
,238.18,0.19,1.7,,,,,,0.0,0.63,,21.54,,,,,,1,,0.0,0.0,0.0,,31.93,,,Josh Allen,QB,,0.0,BUF,,,,0.0,BAL,,0.69,,,Josh AllenQB - BUF
,232.47,0.19,1.62,,,,,,0.0,0.37,,20.95,,,,,,1,,0.0,0.0,0.0,,47.14,,,Jayden Daniels,QB,,0.0,WAS,,,,0.0,NYG,,0.69,,,Jayden DanielsQB - WAS
,217.68,0.24,1.8,,,,,,0.0,0.23,,20.8,,,,,,1,,0.06,0.0,0.0,,47.15,,,Lamar Jackson,QB,,0.0,BAL,,,,0.0,@BUF,,0.54,,,Lamar JacksonQB - BAL
,208.32,0.19,1.32,,,,,,0.0,0.88,,20.73,,,,,,1,,0.0,0.0,0.0,,33.53,,,Jalen Hurts,QB,,0.0,PHI,,,,0.0,DAL,,0.57,,,Jalen HurtsQB - PHI
,271.12,0.18,2.09,,,,,,0.0,0.12,,19.17,,,,,,1,,0.0,0.0,0.0,,9.65,,,Joe Burrow,QB,,0.0,CIN,,,,0.0,@CLE,,0.68,,,Joe BurrowQB - CIN
,252.63,0.25,1.96,,,,,,0.0,0.17,,18.77,,,,,,1,,0.06,0.0,0.0,,15.87,,,Baker Mayfield,QB,,0.0,TB,,,,0.0,@ATL,,0.82,,,Baker MayfieldQB - TB
,258.74,0.12,1.96,,,,,,0.0,0.1,,18.68,,,,,,1,,0.0,0.0,0.0,,16.12,,,Patrick Mahomes,QB,,0.0,KC,,,,0.0,@LAC,,0.74,,,Patrick MahomesQB - KC
,231.77,0.18,1.64,,,,,,0.0,0.24,,17.89,,,,,,1,,0.0,0.0,0.0,,24.36,,,Bo Nix,QB,,0.0,DEN,,,,0.0,TEN,,0.73,,,Bo NixQB - DEN
,218.24,0.18,1.45,,,,,,0.0,0.28,,17.65,,,,,,1,,0.0,0.0,0.0,,31.24,,,Kyler Murray,QB,,0.0,ARI,,,,0.0,@NO,,0.66,,,Kyler MurrayQB - ARI
,210.54,0.23,1.4,,,,,,0.0,0.28,,17.4,,,,,,1,,0.06,0.0,0.0,,32.55,,,Drake Maye,QB,,0.0,NE,,,,0.0,LV,,0.73,,,Drake MayeQB - NEView News
,241.63,0.12,1.67,,,,,,0.0,0.18,,17.23,,,,,,1,,0.0,0.0,0.0,,14.89,,,Brock Purdy,QB,,0.0,SF,,,,0.0,@SEA,,0.72,,,Brock PurdyQB - SFView News
,242.05,0.24,1.58,,,,,,0.0,0.18,,16.93,,,,,,1,,0.06,0.0,0.0,,15.46,,,Trevor Lawrence,QB,,0.0,JAX,,,,0.0,CAR,,0.79,,,Trevor LawrenceQB - JAXView News
,229.3,0.17,1.52,,,,,,0.0,0.21,,16.73,,,,,,1,,0.0,0.0,0.0,,20.14,,,J.J. McCarthy,QB,,0.0,MIN,,,,0.0,@CHI,,0.73,,,J.J. McCarthyQB - MIN
,242.69,0.19,1.68,,,,,,0.0,0.13,,16.38,,,,,,1,,0.0,0.0,0.0,,10.49,,,Jordan Love,QB,,0.0,GBQ,,,,0.0,DET,,0.75,,,Jordan LoveQB - GBQView News
,213.66,0.24,1.35,,,,,,0.0,0.23,,16.04,,,,,,1,,0.06,0.0,0.0,,22.49,,,Caleb Williams,QB,,0.0,CHI,,,,0.0,MIN,,0.71,,,Caleb WilliamsQB - CHI
,248.75,0.18,1.65,,,,,,0.0,0.06,,15.62,,,,,,1,,0.0,0.0,0.0,,3.72,,,Jared Goff,QB,,0.0,DET,,,,0.0,@GB,,0.65,,,Jared GoffQB - DET
,212.15,0.11,1.42,,,,,,0.0,0.17,,15.38,,,,,,1,,0.0,0.0,0.0,,14.37,,,Justin Herbert,QB,,0.0,LAC,,,,0.0,KC,,0.51,,,Justin HerbertQB - LACView News
,225.36,0.17,1.55,,,,,,0.0,0.11,,15.27,,,,,,1,,0.0,0.0,0.0,,11.2,,,C.J. Stroud,QB,,0.0,HOU,,,,0.0,@LAR,,0.69,,,C.J. StroudQB - HOU
,225.25,0.17,1.56,,,,,,0.0,0.11,,15.02,,,,,,1,,0.0,0.0,0.0,,7.88,,,Dak Prescott,QB,,0.0,DAL,,,,0.0,@PHI,,0.67,,,Dak PrescottQB - DAL
,236.0,0.13,1.57,,,,,,0.0,0.06,,14.55,,,,,,1,,0.0,0.0,0.0,,2.28,,,Matthew Stafford,QB,,0.0,LARQ,,,,0.0,HOU,,0.75,,,Matthew StaffordQB - LARQView News
,195.8,0.22,1.19,,,,,,0.0,0.25,,14.5,,,,,,1,,0.05,0.0,0.0,,18.45,,,Bryce Young,QB,,0.0,CAR,,,,0.0,@JAX,,0.65,,,Bryce YoungQB - CAR
,159.18,0.26,0.86,,,,,,0.0,0.35,,14.29,,,,,,1,,0.0,0.0,0.0,,40.78,,,Justin Fields,QB,,0.0,NYJ,,,,0.0,PIT,,0.59,,,Justin FieldsQB - NYJView News
,229.74,0.17,1.5,,,,,,0.0,0.05,,14.22,,,,,,1,,0.0,0.0,0.0,,4.48,,,Tua Tagovailoa,QB,,0.0,MIA,,,,0.0,@IND,,0.69,,,Tua TagovailoaQB - MIA
,214.3,0.18,1.37,,,,,,0.0,0.12,,14.16,,,,,,1,,0.0,0.0,0.0,,11.72,,,Michael Penix Jr.,QB,,0.0,ATL,,,,0.0,TB,,0.71,,,Michael Penix Jr.QB - ATL
,213.6,0.17,1.28,,,,,,0.0,0.12,,13.58,,,,,,1,,0.0,0.0,0.0,,11.57,,,Sam Darnold,QB,,0.0,SEA,,,,0.0,SF,,0.81,,,Sam DarnoldQB - SEA
