Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
0,Josh Allen,QB,499.0,330.0,27.5,3750.5,11.0,,,,500.5,10.5,3.0,360.07
1,Lamar Jackson,QB,453.0,301.0,28.5,3500.5,9.0,,,,750.5,4.5,4.0,341.07
2,Jalen Hurts,QB,457.0,301.0,19.5,3200.5,9.0,,,,600.5,12.5,3.0,328.07
3,Jayden Daniels,QB,501.0,345.0,23.5,3450.5,11.0,,,,675.5,5.5,3.0,317.57
4,Joe Burrow,QB,600.0,405.0,33.5,4150.5,11.0,,,,180.0,2.0,3.0,315.02
5,Ja'Marr Chase,WR,,,,,,113.0,1300.5,10.5,23.0,,1.0,308.35
6,Patrick Mahomes,QB,588.0,395.0,27.5,4050.5,12.0,,,,335.0,2.0,2.0,303.52
7,Baker Mayfield,QB,530.0,356.0,29.5,3800.5,13.0,,,,285.0,3.0,4.0,297.52
8,Bo Nix,QB,540.0,355.0,24.5,3550.5,12.0,,,,412.0,4.0,3.0,289.22
9,Bijan Robinson,RB,,,,,,57.0,375.5,2.0,1200.5,10.5,2.0,287.6
10,CeeDee Lamb,WR,,,,,,108.0,1200.5,7.5,81.0,1.0,1.0,287.15
11,Caleb Williams,QB,531.0,345.0,23.5,3600.5,12.0,,,,425.5,4.0,4.0,286.57
12,Justin Jefferson,WR,,,,,,102.0,1250.5,9.5,6.0,,1.0,284.65
13,Saquon Barkley,RB,,,,,,37.0,275.5,2.0,1425.5,11.5,2.0,284.1
14,Brock Purdy,QB,510.0,341.0,23.5,3800.5,12.0,,,,272.0,4.0,2.0,283.22
15,Kyler Murray,QB,516.0,348.0,20.5,3400.5,11.0,,,,475.5,5.0,3.0,280.57
16,Jahmyr Gibbs,RB,,,,,,56.0,425.5,2.0,1075.5,10.5,2.0,279.1
17,Dak Prescott,QB,580.0,384.0,26.5,3900.5,13.0,,,,159.0,2.0,3.0,272.92
18,J.J. McCarthy,QB,550.0,356.0,24.5,3600.5,13.0,,,,285.0,3.0,3.0,271.52
19,Jared Goff,QB,537.0,369.0,28.5,3900.5,11.0,,,,63.0,1.0,3.0,267.32
20,Amon-Ra St. Brown,WR,,,,,,105.0,1100.5,8.5,12.0,,1.0,267.25
21,Justin Herbert,QB,531.0,353.0,22.5,3650.5,10.0,,,,234.0,3.0,2.0,265.42
22,Drake Maye,QB,529.0,354.0,19.5,3300.5,13.0,,,,500.5,4.0,4.0,265.07
23,Puka Nacua,WR,,,,,,98.0,1200.5,5.5,71.0,1.0,1.0,264.15
24,Malik Nabers,WR,,,,,,102.0,1150.5,7.5,35.0,,1.0,263.55
25,Trevor Lawrence,QB,560.0,369.0,22.5,3700.5,13.0,,,,255.0,3.0,4.0,262.52
26,Christian McCaffrey,RB,,,,,,61.0,425.5,3.0,950.5,8.0,2.0,260.6
27,De'Von Achane,RB,,,,,,68.0,450.5,3.0,900.5,7.0,2.0,259.1
28,Jordan Love,QB,522.0,342.0,25.5,3600.5,12.0,,,,166.0,2.0,3.0,258.62
29,Matthew Stafford,QB,541.0,357.0,25.0,4005.0,12.0,,,,48.0,1.0,2.0,257.0
30,C.J. Stroud,QB,544.0,356.0,21.5,3800.5,11.0,,,,196.0,2.0,3.0,254.62
31,Drake London,WR,,,,,,95.0,1125.5,7.5,11.0,,1.0,253.65
32,Brian Thomas,WR,,,,,,95.0,1150.5,6.5,18.0,,1.0,250.85
33,Derrick Henry,RB,,,,,,15.0,143.0,1.0,1350.5,13.5,2.0,249.35
34,Justin Fields,QB,429.0,266.0,14.5,2550.5,11.0,,,,650.5,7.0,5.0,248.07
35,Ashton Jeanty,RB,,,,,,50.0,379.0,2.0,1050.5,7.5,2.0,247.95
36,Nico Collins,WR,,,,,,92.0,1125.5,6.5,6.0,,1.0,244.15
37,Geno Smith,QB,530.0,351.0,20.5,3575.5,12.0,,,,225.0,2.0,3.0,243.52
38,A.J. Brown,WR,,,,,,86.0,1100.5,7.5,,,1.0,241.05
39,Tyreek Hill,WR,,,,,,95.0,975.5,7.5,35.0,,1.0,241.05
40,Josh Jacobs,RB,,,,,,39.0,295.0,2.0,1050.5,9.5,2.0,240.55
41,Bryce Young,QB,539.0,342.0,18.5,3250.5,12.0,,,,297.0,4.0,4.0,239.72
42,Brock Bowers,TE,,,,,,101.0,1000.5,5.5,16.0,,1.0,235.65
43,Terry McLaurin,WR,,,,,,80.0,1121.0,7.0,6.0,,1.0,234.7
44,Cameron Ward,QB,526.0,334.0,19.5,3200.5,15.0,,,,312.0,3.0,4.0,234.22
45,Michael Penix,QB,512.0,321.0,19.5,3500.5,13.0,,,,198.0,2.0,3.0,232.82
46,Sam Darnold,QB,496.0,322.0,20.5,3400.5,12.0,,,,187.0,2.0,3.0,232.72
47,Ladd McConkey,WR,,,,,,89.0,1025.5,6.5,17.0,,1.0,232.25
48,Tua Tagovailoa,QB,534.0,361.0,23.5,3450.5,12.0,,,,96.0,1.0,3.0,231.62
49,Bucky Irving,RB,,,,,,44.0,336.0,2.0,1000.5,7.5,2.0,230.65
50,Jonathan Taylor,RB,,,,,,28.0,210.0,1.0,1200.5,9.5,2.0,230.05
51,Davante Adams,WR,,,,,,82.0,950.5,8.5,,,1.0,228.05
52,Aaron Rodgers,QB,522.0,338.0,23.5,3200.5,10.0,,,,101.0,1.0,2.0,226.12
53,Tee Higgins,WR,,,,,,82.0,975.5,7.5,,,1.0,224.55
54,Chase Brown,RB,,,,,,51.0,300.5,2.0,900.5,7.0,2.0,223.1
55,Jaxon Smith-Njigba,WR,,,,,,84.0,975.5,6.0,42.0,,1.0,221.75
56,DJ Moore,WR,,,,,,80.0,975.5,6.5,46.0,,1.0,221.15
57,Trey McBride,TE,,,,,,102.0,900.5,4.5,3.0,,1.0,219.35
58,Marvin Harrison,WR,,,,,,80.0,975.5,6.5,16.0,,1.0,218.15
59,Kyren Williams,RB,,,,,,30.0,211.0,1.0,1000.5,10.5,2.0,218.15
60,James Cook,RB,,,,,,33.0,257.0,2.0,950.5,8.5,2.0,214.75
61,Alvin Kamara,RB,,,,,,59.0,400.5,2.0,775.5,5.0,2.0,214.6
62,James Conner,RB,,,,,,39.0,292.0,2.0,875.5,8.0,2.0,213.75
63,Xavier Worthy,WR,,,,,,68.0,900.5,7.0,92.0,1.0,1.0,213.25
64,DK Metcalf,WR,,,,,,80.0,950.5,6.5,6.0,,1.0,212.65
65,Mike Evans,WR,,,,,,71.0,950.5,7.5,,,1.0,211.05
66,DeVonta Smith,WR,,,,,,81.0,952.0,6.0,5.0,,1.0,210.7
67,Garrett Wilson,WR,,,,,,87.0,925.5,4.5,37.0,,1.0,210.25
68,Omarion Hampton,RB,,,,,,37.0,281.0,1.0,850.5,9.0,2.0,208.15
69,Rashee Rice,WR,,,,,,77.0,866.0,7.0,11.0,,1.0,206.7
